"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 05, 2019","1.2862","1.2411","1.2938","1.2318","49.22K","3.68%"
"Dec 06, 2019","1.3769","1.2868","1.4186","1.2710","147.62K","7.05%"
"Dec 07, 2019","1.4389","1.3769","1.4701","1.3644","339.56K","4.50%"
"Dec 08, 2019","1.5981","1.4389","1.6152","1.4375","634.56K","11.06%"
"Dec 09, 2019","1.5535","1.6023","1.6517","1.5251","363.71K","-2.79%"
"Dec 10, 2019","1.4760","1.5498","1.5509","1.3941","339.82K","-4.99%"
"Dec 11, 2019","1.5760","1.4770","1.5931","1.4660","295.50K","6.78%"
"Dec 12, 2019","1.7585","1.5745","1.7732","1.5132","650.90K","11.58%"
"Dec 13, 2019","1.7629","1.7591","1.8311","1.6614","521.85K","0.25%"
"Dec 14, 2019","1.6781","1.7712","1.7771","1.6224","310.29K","-4.81%"
"Dec 15, 2019","1.6618","1.6784","1.7312","1.6004","435.30K","-0.97%"
"Dec 16, 2019","1.6688","1.6618","1.7069","1.5973","190.97K","0.42%"
"Dec 17, 2019","1.5395","1.6637","1.7643","1.5211","539.85K","-7.75%"
"Dec 18, 2019","1.5720","1.5391","1.6300","1.4300","271.82K","2.11%"
"Dec 19, 2019","1.5033","1.5720","1.6152","1.4616","149.50K","-4.37%"
"Dec 20, 2019","1.5982","1.5024","1.5982","1.4820","312.06K","6.31%"
"Dec 21, 2019","1.4687","1.6000","1.6049","1.4641","127.02K","-8.10%"
"Dec 22, 2019","1.4627","1.4697","1.5190","1.4403","98.96K","-0.41%"
"Dec 23, 2019","1.5160","1.4613","1.5762","1.4588","226.43K","3.64%"
"Dec 24, 2019","1.4833","1.5155","1.5173","1.4724","63.30K","-2.16%"
"Dec 25, 2019","1.3937","1.4836","1.4882","1.3571","198.08K","-6.04%"
"Dec 26, 2019","1.3485","1.3937","1.4100","1.3324","103.37K","-3.24%"
"Dec 27, 2019","1.3571","1.3496","1.3920","1.3429","56.74K","0.64%"
"Dec 28, 2019","1.3203","1.3569","1.3795","1.3186","59.00K","-2.71%"
"Dec 29, 2019","1.3078","1.3207","1.3254","1.2672","71.44K","-0.95%"
"Dec 30, 2019","1.3273","1.3086","1.3554","1.2905","131.23K","1.49%"
"Dec 31, 2019","1.3536","1.3264","1.3941","1.3042","207.06K","1.98%"
"Jan 01, 2020","1.3686","1.3527","1.3728","1.3232","82.46K","1.11%"
"Jan 02, 2020","1.2233","1.3686","1.3781","1.2169","114.04K","-10.62%"
"Jan 03, 2020","1.2622","1.2248","1.3003","1.2180","75.39K","3.18%"
"Jan 04, 2020","1.2402","1.2613","1.2675","1.2145","43.95K","-1.74%"
"Jan 05, 2020","1.2519","1.2438","1.2755","1.2315","55.00K","0.94%"
"Jan 06, 2020","1.3034","1.2519","1.3396","1.2486","142.29K","4.11%"
"Jan 07, 2020","1.2952","1.3035","1.3238","1.2441","225.67K","-0.63%"
"Jan 08, 2020","1.3289","1.2946","1.3956","1.2755","180.51K","2.60%"
"Jan 09, 2020","1.2790","1.3300","1.3659","1.2651","247.37K","-3.75%"
"Jan 10, 2020","1.3055","1.2789","1.3409","1.2563","181.71K","2.07%"
"Jan 11, 2020","1.3049","1.3055","1.3499","1.2966","88.50K","-0.05%"
"Jan 12, 2020","1.3060","1.3051","1.3202","1.2949","49.38K","0.08%"
"Jan 13, 2020","1.2744","1.3061","1.3073","1.2619","121.96K","-2.42%"
"Jan 14, 2020","1.3251","1.2742","1.3468","1.2720","262.29K","3.98%"
"Jan 15, 2020","1.3460","1.3251","1.4037","1.2865","384.79K","1.58%"
"Jan 16, 2020","1.5114","1.3460","1.5780","1.3007","384.13K","12.29%"
"Jan 17, 2020","1.4735","1.5349","1.5779","1.4309","447.34K","-2.51%"
"Jan 18, 2020","1.4807","1.4754","1.5462","1.4157","276.72K","0.49%"
"Jan 19, 2020","1.4248","1.4807","1.5236","1.3599","242.77K","-3.78%"
"Jan 20, 2020","1.5982","1.4262","1.5982","1.4066","275.14K","12.17%"
"Jan 21, 2020","1.5353","1.5982","1.6164","1.5013","249.35K","-3.94%"
"Jan 22, 2020","1.5929","1.5347","1.6404","1.5276","156.37K","3.75%"
"Jan 23, 2020","1.5572","1.5933","1.6248","1.4970","130.34K","-2.24%"
"Jan 24, 2020","1.5118","1.5572","1.5656","1.4984","64.24K","-2.92%"
"Jan 25, 2020","1.4937","1.5135","1.5135","1.4608","67.52K","-1.20%"
"Jan 26, 2020","1.5243","1.4941","1.5294","1.4699","32.14K","2.05%"
"Jan 27, 2020","1.5209","1.5247","1.5450","1.4852","84.50K","-0.22%"
"Jan 28, 2020","1.5510","1.5209","1.5782","1.5070","142.56K","1.98%"
"Jan 29, 2020","1.5679","1.5510","1.6863","1.5440","261.60K","1.09%"
"Jan 30, 2020","1.6806","1.5679","1.7043","1.5593","211.71K","7.19%"
"Jan 31, 2020","1.6571","1.6811","1.7231","1.6471","131.36K","-1.40%"
"Feb 01, 2020","1.7467","1.6564","1.7475","1.6543","107.62K","5.41%"
"Feb 02, 2020","1.9225","1.7467","1.9941","1.6950","286.08K","10.06%"
"Feb 03, 2020","2.0034","1.9228","2.0946","1.8734","527.97K","4.21%"
"Feb 04, 2020","1.9238","1.9994","2.0413","1.8948","223.74K","-3.97%"
"Feb 05, 2020","2.1387","1.9238","2.2272","1.9124","274.02K","11.17%"
"Feb 06, 2020","2.1682","2.1425","2.2699","2.1204","296.22K","1.38%"
"Feb 07, 2020","2.1947","2.1682","2.2660","2.1654","183.86K","1.22%"
"Feb 08, 2020","2.2924","2.1930","2.3168","2.0153","225.50K","4.45%"
"Feb 09, 2020","2.6417","2.2924","2.7486","2.2872","799.64K","15.24%"
"Feb 10, 2020","2.6245","2.6432","2.7396","2.4628","594.39K","-0.65%"
"Feb 11, 2020","2.9112","2.6278","2.9592","2.5574","394.22K","10.92%"
"Feb 12, 2020","3.3487","2.9101","3.6098","2.9101","1.12M","15.03%"
"Feb 13, 2020","3.1342","3.3627","3.4853","2.9369","893.39K","-6.41%"
"Feb 14, 2020","3.4781","3.1302","3.5564","3.0469","631.59K","10.97%"
"Feb 15, 2020","3.1927","3.4795","3.5480","3.0287","737.00K","-8.21%"
"Feb 16, 2020","3.2403","3.1928","3.2979","2.7467","482.33K","1.49%"
"Feb 17, 2020","3.1469","3.2296","3.2415","2.7528","640.03K","-2.88%"
"Feb 18, 2020","3.4400","3.1484","3.5500","3.0948","586.73K","9.31%"
"Feb 19, 2020","3.5435","3.4401","3.9400","3.3431","1.12M","3.01%"
"Feb 20, 2020","3.6128","3.5295","3.8944","3.4500","1.12M","1.96%"
"Feb 21, 2020","3.4874","3.6061","3.7557","3.3823","579.82K","-3.47%"
"Feb 22, 2020","3.2972","3.4785","3.5377","3.2457","635.79K","-5.45%"
"Feb 23, 2020","3.5254","3.3076","3.5800","3.3061","389.52K","6.92%"
"Feb 24, 2020","3.1836","3.5283","3.5283","2.9611","709.20K","-9.70%"
"Feb 25, 2020","2.8080","3.1881","3.1951","2.7181","740.63K","-11.80%"
"Feb 26, 2020","2.7562","2.8020","2.9948","2.5367","1.55M","-1.84%"
"Feb 27, 2020","2.7978","2.7560","2.9957","2.5523","1.11M","1.51%"
"Feb 28, 2020","2.7840","2.8093","2.9082","2.6252","915.68K","-0.49%"
"Feb 29, 2020","2.7364","2.7832","2.9950","2.7350","869.22K","-1.71%"
"Mar 01, 2020","2.6192","2.7382","2.8416","2.5759","522.54K","-4.28%"
"Mar 02, 2020","2.7984","2.6192","2.8899","2.5560","845.41K","6.84%"
"Mar 03, 2020","2.7588","2.7995","2.8200","2.6403","602.77K","-1.42%"
"Mar 04, 2020","3.0981","2.7606","3.0998","2.7354","1.37M","12.30%"
"Mar 05, 2020","3.0861","3.1129","3.3157","3.0265","1.49M","-0.39%"
"Mar 06, 2020","3.1745","3.0842","3.2276","3.0399","776.40K","2.86%"
"Mar 07, 2020","2.9880","3.1745","3.2631","2.9776","800.70K","-5.87%"
"Mar 08, 2020","2.5901","2.9865","2.9865","2.5571","1.15M","-13.32%"
"Mar 09, 2020","2.5403","2.5919","2.6565","2.2644","1.38M","-1.92%"
"Mar 10, 2020","2.5888","2.5450","2.7470","2.4773","1.06M","1.91%"
"Mar 11, 2020","2.5070","2.5888","2.6775","2.2969","814.49K","-3.16%"
"Mar 12, 2020","1.3484","2.5108","2.5218","1.2955","2.32M","-46.21%"
"Mar 13, 2020","1.7641","1.3267","1.9442","0.9729","3.56M","30.83%"
"Mar 14, 2020","1.5823","1.7527","1.8288","1.5430","1.53M","-10.31%"
"Mar 15, 2020","1.5420","1.5821","1.7480","1.4280","1.53M","-2.55%"
"Mar 16, 2020","1.3212","1.5421","1.5421","1.1396","2.70M","-14.32%"
"Mar 17, 2020","1.3634","1.3397","1.4767","1.2909","2.13M","3.19%"
"Mar 18, 2020","1.3996","1.3722","1.4183","1.2849","1.55M","2.66%"
"Mar 19, 2020","1.6332","1.4025","1.7394","1.3593","2.10M","16.69%"
"Mar 20, 2020","1.6805","1.6465","1.8784","1.4882","2.91M","2.90%"
"Mar 21, 2020","1.6540","1.6845","1.7594","1.5831","1.63M","-1.58%"
"Mar 22, 2020","1.4770","1.6515","1.7176","1.4591","1.50M","-10.70%"
"Mar 23, 2020","1.6779","1.4649","1.6868","1.4513","1.51M","13.60%"
"Mar 24, 2020","1.7600","1.6779","1.7748","1.6228","1.30M","4.89%"
"Mar 25, 2020","1.7124","1.7579","1.7852","1.6483","1.28M","-2.70%"
"Mar 26, 2020","1.7550","1.7239","1.7600","1.7006","457.41K","2.49%"
"Mar 27, 2020","1.5860","1.7550","1.7792","1.5806","541.55K","-9.63%"
"Mar 28, 2020","1.5630","1.5797","1.6125","1.5085","566.73K","-1.45%"
"Mar 29, 2020","1.4666","1.5630","1.5779","1.4666","359.96K","-6.17%"
"Mar 30, 2020","1.6058","1.4707","1.6581","1.4615","401.81K","9.49%"
"Mar 31, 2020","1.6110","1.6058","1.6368","1.5501","303.24K","0.32%"
"Apr 01, 2020","1.6060","1.6080","1.6318","1.5209","357.38K","-0.31%"
"Apr 02, 2020","1.6700","1.6060","1.8000","1.5959","892.28K","3.99%"
"Apr 03, 2020","1.6757","1.6627","1.7762","1.6492","843.35K","0.34%"
"Apr 04, 2020","1.6954","1.6775","1.7300","1.6548","345.38K","1.18%"
"Apr 05, 2020","1.6661","1.6981","1.7073","1.6626","245.16K","-1.73%"
"Apr 06, 2020","1.9059","1.6661","1.9059","1.6618","1.19M","14.39%"
"Apr 07, 2020","1.9601","1.9107","2.0896","1.8688","2.37M","2.84%"
"Apr 08, 2020","2.1477","1.9601","2.1768","1.9228","1.20M","9.57%"
"Apr 09, 2020","2.1113","2.1423","2.1774","1.9906","1.09M","-1.69%"
"Apr 10, 2020","1.9102","2.1096","2.1144","1.8230","1.20M","-9.52%"
"Apr 11, 2020","1.9697","1.9090","2.0400","1.8885","798.51K","3.11%"
"Apr 12, 2020","2.0038","1.9754","2.0593","1.8935","1.13M","1.73%"
"Apr 13, 2020","1.9350","1.9894","1.9999","1.8909","787.79K","-3.43%"
"Apr 14, 2020","1.9466","1.9350","1.9966","1.9058","549.67K","0.60%"
"Apr 15, 2020","1.9032","1.9466","1.9762","1.8925","403.71K","-2.23%"
"Apr 16, 2020","2.1087","1.9001","2.1399","1.8394","985.68K","10.80%"
"Apr 17, 2020","2.0872","2.1087","2.1581","2.0626","728.68K","-1.02%"
"Apr 18, 2020","2.3287","2.0843","2.3790","2.0843","1.02M","11.57%"
"Apr 19, 2020","2.2487","2.3280","2.3690","2.2129","804.33K","-3.44%"
"Apr 20, 2020","2.1277","2.2440","2.3504","2.0661","1.47M","-5.38%"
"Apr 21, 2020","2.1449","2.1249","2.2030","2.0798","971.30K","0.81%"
"Apr 22, 2020","2.3364","2.1430","2.3429","2.1365","823.86K","8.93%"
"Apr 23, 2020","2.4929","2.3379","2.6000","2.3067","1.24M","6.70%"
"Apr 24, 2020","2.7127","2.4979","2.7654","2.4946","1.32M","8.82%"
"Apr 25, 2020","2.8603","2.7164","2.8832","2.6436","901.14K","5.44%"
"Apr 26, 2020","2.7623","2.8580","2.8580","2.7312","741.55K","-3.43%"
"Apr 27, 2020","2.7398","2.7656","2.7854","2.5520","893.18K","-0.81%"
"Apr 28, 2020","2.7483","2.7398","2.8060","2.6586","860.60K","0.31%"
"Apr 29, 2020","2.9337","2.7477","3.0101","2.7467","1.38M","6.75%"
"Apr 30, 2020","2.7602","2.9433","3.0383","2.6731","1.46M","-5.91%"
"May 01, 2020","2.7953","2.7557","2.9471","2.7503","969.25K","1.27%"
"May 02, 2020","2.8322","2.7958","2.8614","2.7750","496.96K","1.32%"
"May 03, 2020","2.7371","2.8314","2.8745","2.6797","758.28K","-3.36%"
"May 04, 2020","2.7803","2.7371","2.8426","2.5910","1.08M","1.58%"
"May 05, 2020","2.7512","2.7754","2.8300","2.7002","673.69K","-1.05%"
"May 06, 2020","2.6492","2.7488","2.7996","2.6453","570.06K","-3.71%"
"May 07, 2020","2.7110","2.6492","2.8000","2.6103","680.75K","2.33%"
"May 08, 2020","2.7548","2.7151","2.8173","2.6879","527.41K","1.62%"
"May 09, 2020","2.8185","2.7506","2.9592","2.7263","1.07M","2.31%"
"May 10, 2020","2.5500","2.8134","2.8156","2.2821","1.57M","-9.53%"
"May 11, 2020","2.4284","2.5469","2.5925","2.2858","1.51M","-4.77%"
"May 12, 2020","2.5109","2.4244","2.5789","2.4149","710.78K","3.40%"
"May 13, 2020","2.5678","2.5091","2.5891","2.4875","449.25K","2.27%"
"May 14, 2020","2.5453","2.5678","2.6170","2.4929","555.43K","-0.88%"
"May 15, 2020","2.4886","2.5462","2.5507","2.4464","421.85K","-2.23%"
"May 16, 2020","2.6292","2.4905","2.6560","2.4726","408.80K","5.65%"
"May 17, 2020","2.6233","2.6292","2.6900","2.6030","316.55K","-0.22%"
"May 18, 2020","2.7545","2.6233","2.7695","2.6199","474.42K","5.00%"
"May 19, 2020","2.8260","2.7546","2.8348","2.6398","513.31K","2.60%"
"May 20, 2020","2.8227","2.8350","2.8980","2.7200","617.77K","-0.12%"
"May 21, 2020","2.6394","2.8227","2.8564","2.5845","584.20K","-6.49%"
"May 22, 2020","2.7982","2.6425","2.8646","2.6074","565.68K","6.02%"
"May 23, 2020","2.7593","2.7999","2.8290","2.7275","377.82K","-1.39%"
"May 24, 2020","2.6503","2.7566","2.8299","2.6503","395.73K","-3.95%"
"May 25, 2020","2.7335","2.6457","2.7433","2.6313","333.00K","3.14%"
"May 26, 2020","2.6952","2.7335","2.7633","2.6577","342.07K","-1.40%"
"May 27, 2020","2.7076","2.6955","2.7489","2.6793","300.70K","0.46%"
"May 28, 2020","2.8320","2.7076","2.8480","2.6819","308.81K","4.59%"
"May 29, 2020","2.8722","2.8321","2.9084","2.7983","457.48K","1.42%"
"May 30, 2020","2.9237","2.8766","2.9651","2.8199","577.01K","1.79%"
"May 31, 2020","2.8057","2.9237","2.9643","2.7742","525.44K","-4.04%"
"Jun 01, 2020","2.9649","2.8057","2.9947","2.7809","713.16K","5.67%"
"Jun 02, 2020","2.8980","2.9662","3.1264","2.7477","996.72K","-2.26%"
"Jun 03, 2020","3.0405","2.8980","3.0700","2.8404","538.34K","4.92%"
"Jun 04, 2020","2.9954","3.0424","3.0834","2.9105","763.36K","-1.48%"
"Jun 05, 2020","2.9345","2.9986","3.0187","2.9176","486.86K","-2.03%"
"Jun 06, 2020","2.9253","2.9257","2.9722","2.9075","195.95K","-0.31%"
"Jun 07, 2020","2.8868","2.9240","2.9362","2.8112","436.71K","-1.32%"
"Jun 08, 2020","2.9423","2.8868","2.9491","2.8636","187.77K","1.92%"
"Jun 09, 2020","2.9021","2.9456","2.9581","2.8701","160.33K","-1.37%"
"Jun 10, 2020","2.8868","2.9021","2.9265","2.8589","239.52K","-0.53%"
"Jun 11, 2020","2.6154","2.8868","2.9064","2.5339","541.49K","-9.40%"
"Jun 12, 2020","2.6657","2.6131","2.7601","2.5902","494.55K","1.92%"
"Jun 13, 2020","2.6963","2.6657","2.7233","2.6409","192.54K","1.15%"
"Jun 14, 2020","2.5883","2.6975","2.6977","2.5567","230.86K","-4.01%"
"Jun 15, 2020","2.6278","2.5883","2.6850","2.4368","545.26K","1.53%"
"Jun 16, 2020","2.6148","2.6295","2.6697","2.5682","258.82K","-0.49%"
"Jun 17, 2020","2.6777","2.6152","2.6913","2.5500","460.42K","2.41%"
"Jun 18, 2020","2.6643","2.6828","2.7693","2.5629","779.49K","-0.50%"
"Jun 19, 2020","2.6253","2.6637","2.7171","2.6144","612.93K","-1.46%"
"Jun 20, 2020","2.6146","2.6246","2.6558","2.5590","390.98K","-0.41%"
"Jun 21, 2020","2.5878","2.6146","2.6272","2.5776","228.50K","-1.03%"
"Jun 22, 2020","2.6787","2.5853","2.7045","2.5768","481.87K","3.51%"
"Jun 23, 2020","2.7819","2.6853","2.7934","2.6370","989.08K","3.85%"
"Jun 24, 2020","2.6260","2.7819","2.8580","2.5821","1.46M","-5.60%"
"Jun 25, 2020","2.5782","2.6261","2.6497","2.5317","824.26K","-1.82%"
"Jun 26, 2020","2.4854","2.5742","2.5789","2.4536","1.76M","-3.60%"
"Jun 27, 2020","2.3156","2.4872","2.4960","2.2652","1.33M","-6.83%"
"Jun 28, 2020","2.3705","2.3150","2.4333","2.2881","1.10M","2.37%"
"Jun 29, 2020","2.4105","2.3673","2.4398","2.3468","881.14K","1.69%"
"Jun 30, 2020","2.3573","2.4119","2.4161","2.3568","491.79K","-2.21%"
"Jul 01, 2020","2.3997","2.3578","2.4449","2.3354","648.76K","1.80%"
"Jul 02, 2020","2.3341","2.4010","2.4053","2.2760","741.87K","-2.73%"
"Jul 03, 2020","2.2757","2.3341","2.3490","2.2751","576.92K","-2.50%"
"Jul 04, 2020","2.3270","2.2760","2.3531","2.2707","440.29K","2.25%"
"Jul 05, 2020","2.2883","2.3270","2.3293","2.2626","462.90K","-1.66%"
"Jul 06, 2020","2.4400","2.2857","2.4418","2.2857","908.78K","6.63%"
"Jul 07, 2020","2.5117","2.4381","2.5662","2.4242","1.13M","2.94%"
"Jul 08, 2020","2.6516","2.5157","2.6677","2.5157","1.59M","5.57%"
"Jul 09, 2020","2.5307","2.6497","2.6497","2.5176","1.54M","-4.56%"
"Jul 10, 2020","2.5420","2.5307","2.5634","2.4440","1.30M","0.45%"
"Jul 11, 2020","2.6855","2.5455","2.6990","2.5440","2.03M","5.65%"
"Jul 12, 2020","2.8230","2.6858","2.8230","2.6100","2.55M","5.12%"
"Jul 13, 2020","2.9064","2.8263","3.1141","2.7800","5.59M","2.95%"
